"","regija","leto","vrsta.zemljisca","povrsina"
"441","kp",2003,"trajni nasadi",3131
"442","kk",2016,"trajni nasadi",2804
"443","kk",2013,"trajni nasadi",2560
"444","lj",2013,"trajni nasadi",718
"445","ce",2010,"trajni nasadi",2554
"446","lj",2016,"trajni nasadi",645
"447","ms",2013,"trajni nasadi",2832
"448","kk",2010,"trajni nasadi",2663
"449","mb",2010,"trajni nasadi",6000
"450","ce",2016,"trajni nasadi",2881
"451","nm",2016,"trajni nasadi",2067
"452","kr",2007,"trajni nasadi",377
"453","kp",2005,"trajni nasadi",3301
"454","nm",2013,"trajni nasadi",1864
"455","slo",2016,"trajni nasadi",26538
"456","ng",2016,"trajni nasadi",5099
"457","po",2016,"trajni nasadi",409
"458","sg",2005,"trajni nasadi",453
"459","po",2013,"trajni nasadi",373
"460","lj",2003,"trajni nasadi",1061
"461","nm",2010,"trajni nasadi",1778
"462","ms",2016,"trajni nasadi",2232
"463","lj",2005,"trajni nasadi",670
"464","za",2016,"trajni nasadi",300
"465","sg",2016,"trajni nasadi",631
"466","mb",2005,"trajni nasadi",6159
"467","za",2010,"trajni nasadi",179
"468","po",2010,"trajni nasadi",393
"469","ce",2007,"trajni nasadi",2741
"470","slo",2003,"trajni nasadi",28767
"471","kp",2010,"trajni nasadi",3509
"472","ng",2003,"trajni nasadi",5472
"473","kp",2007,"trajni nasadi",3481
"474","mb",2016,"trajni nasadi",5381
"475","kr",2005,"trajni nasadi",391
"476","ms",2010,"trajni nasadi",2729
"477","kk",2007,"trajni nasadi",2623
"478","mb",2007,"trajni nasadi",6112
"479","ng",2007,"trajni nasadi",4683
"480","slo",2013,"trajni nasadi",26934
"481","za",2013,"trajni nasadi",226
"482","lj",2007,"trajni nasadi",601
"483","ng",2005,"trajni nasadi",5366
"484","ms",2003,"trajni nasadi",3268
"485","lj",2010,"trajni nasadi",722
"486","slo",2010,"trajni nasadi",26796
"487","mb",2003,"trajni nasadi",7031
"488","nm",2003,"trajni nasadi",2086
"489","ce",2005,"trajni nasadi",2900
"490","kr",2016,"trajni nasadi",421
"491","mb",2013,"trajni nasadi",5817
"492","kp",2013,"trajni nasadi",3565
"493","kr",2003,"trajni nasadi",628
"494","ce",2003,"trajni nasadi",2334
"495","kk",2003,"trajni nasadi",2990
"496","slo",2005,"trajni nasadi",27449
"497","slo",2007,"trajni nasadi",25843
"498","kr",2013,"trajni nasadi",418
"499","kk",2005,"trajni nasadi",2626
"500","kr",2010,"trajni nasadi",395
"501","ms",2005,"trajni nasadi",3057
"502","nm",2007,"trajni nasadi",1784
"503","po",2005,"trajni nasadi",399
"504","nm",2005,"trajni nasadi",2050
"505","ms",2007,"trajni nasadi",2669
"506","ms",2010,"zelena krma",5270
"507","ms",2013,"zelena krma",3795
"508","ms",2016,"zelena krma",5746
"509","ce",2016,"zelena krma",7848
"510","slo",2016,"zelena krma",52656
"511","ng",2007,"zelena krma",1108
"512","ng",2005,"zelena krma",1151
"513","mb",2016,"zelena krma",10591
"514","sg",2003,"zelena krma",2596
"515","lj",2010,"zelena krma",10160
"516","ng",2016,"zelena krma",1139
"517","ng",2013,"zelena krma",1212
"518","ng",2010,"zelena krma",1079
"519","za",2016,"zelena krma",508
"520","lj",2013,"zelena krma",10869
"521","lj",2016,"zelena krma",8986
"522","kk",2016,"zelena krma",2488
"523","kr",2007,"zelena krma",5106
"524","slo",2013,"zelena krma",53323
"525","sg",2005,"zelena krma",2528
"526","kr",2005,"zelena krma",5305
"527","za",2013,"zelena krma",105
"528","kr",2010,"zelena krma",5179
"529","kr",2003,"zelena krma",4390
"530","kr",2016,"zelena krma",4536
"531","nm",2003,"zelena krma",7459
"532","kr",2013,"zelena krma",4876
"533","po",2016,"zelena krma",1043
"534","ce",2010,"zelena krma",8336
"535","ce",2003,"zelena krma",7200
"536","kp",2013,"zelena krma",784
"537","ce",2007,"zelena krma",7948
"538","sg",2007,"zelena krma",2385
"539","ce",2013,"zelena krma",8870
"540","ce",2005,"zelena krma",7803
"541","slo",2010,"zelena krma",54374
"542","kk",2007,"zelena krma",1892
"543","kp",2010,"zelena krma",595
"544","kp",2016,"zelena krma",460
"545","kk",2005,"zelena krma",2145
"546","po",2013,"zelena krma",914
"547","kk",2010,"zelena krma",1839
"548","kk",2003,"zelena krma",1728
"549","nm",2016,"zelena krma",6633
"550","mb",2005,"zelena krma",9710
"551","za",2010,"zelena krma",162
"552","kk",2013,"zelena krma",2160
"553","mb",2003,"zelena krma",8419
